sg,pl
blanket,blankets
republican,republicans
palm,palms
mix,mixes
devil,devils
adoption,adoptions
workforce,workforces
segment,segments
contractor,contractors
portion,portions
cook,cooks
prediction,predictions
oven,ovens
liver,livers
fraud,frauds
beam,beams
signature,signatures
limb,limbs
verdict,verdicts
container,containers
aunt,aunts
dock,docks
submission,submissions
odd,odds
certainty,certainties
electron,electrons
drum,drums
wisdom,wisdoms
antibody,antibodies
terrorist,terrorists
circulation,circulations
alteration,alterations
fluid,fluids
riot,riots
petition,petitions
fox,foxes
recruitment,recruitments
memorial,memorials
helicopter,helicopters
correspondence,correspondences
lighting,lightings
harbour,harbours
constituent,constituents
exam,exams
toe,toes
bureaucracy,bureaucracies
wrist,wrists
nut,nuts
plain,plains
evil,evils
hazard,hazards
dealing,dealings
inn,inns
initial,initials
suspension,suspensions
respondent,respondents
over,overs
log,logs
fitness,fitnesses
tile,tiles
economist,economists
vein,veins
strand,strands
disturbance,disturbances
cab,cabs
grandfather,grandfathers
destination,destinations
regiment,regiments
boom,booms
encouragement,encouragements
flood,floods
defect,defects
surplus,surpluses
champagne,champagnes
liquid,liquids
welcome,welcomes
rejection,rejections
administrator,administrators
contradiction,contradictions
nail,nails
senior,seniors
lap,laps
commodity,commodities
intellectual,intellectuals
imprisonment,imprisonments
atom,atoms
sanction,sanctions
surrounding,surroundings
soup,soups
encounter,encounters
abortion,abortions
custody,custodies
composer,composers
charm,charms
waist,waists
equality,equalities
tribute,tributes
bearing,bearings
auction,auctions
standing,standings
manufacture,manufactures
horn,horns
barn,barns
mayor,mayors
emperor,emperors
rescue,rescues
conscience,consciences
grandmother,grandmothers
takeover,takeovers
nationalist,nationalists
dolphin,dolphins
fortnight,fortnights
elephant,elephants
plea,pleas
breeze,breezes
prevention,preventions
mineral,minerals
runner,runners
integrity,integrities
owl,owls
hedge,hedges
thief,thieves
tomato,tomatoes
eagle,eagles
blade,blades
killing,killings
desktop,desktops
bowel,bowels
expedition,expeditions
saint,saints
stamp,stamps
slide,slides
faction,factions
brass,brasses
inequality,inequalities
saying,sayings
ridge,ridges
earl,earls
yacht,yachts
valuation,valuations
beat,beats
worship,worships
fossil,fossils
taxpayer,taxpayers
corruption,corruptions
pencil,pencils
stem,stems
lump,lumps
mobility,mobilities
goodness,goodnesses
graph,graphs
referee,referees
cave,caves
revelation,revelations
meantime,meantimes
barrel,barrels
lawn,lawns
hut,huts
swing,swings
slice,slices
thigh,thighs
discharge,discharges
cluster,clusters
obstacle,obstacles
motorway,motorways
heritage,heritages
breeding,breedings
bucket,buckets
migration,migrations
ritual,rituals
hunting,huntings
protocol,protocols
prejudice,prejudices
inspiration,inspirations
dioxide,dioxides
parallel,parallels
outlet,outlets
collaboration,collaborations
booking,bookings
tourism,tourisms
diversity,diversities
supplement,supplements
forecast,forecasts
soap,soaps
ruling,rulings
interference,interferences
mining,minings
try,tries
quota,quotas
kilometre,kilometres
pet,pets
covenant,covenants
trophy,trophies
verb,verbs
extract,extracts
straw,straws
eyebrow,eyebrows
mask,masks
lecturer,lecturers
girlfriend,girlfriends
forehead,foreheads
timetable,timetables
farming,farmings
lid,lids
librarian,librarians
injection,injections
sexuality,sexualities
bonus,bonuses
thumb,thumbs
ankle,ankles
psychologist,psychologists
occurrence,occurrences
tribe,tribes
validity,validities
marble,marbles
bow,bows
maturity,maturities
clergy,clergies
decoration,decorations
well,wells
embarrassment,embarrassments
sauce,sauces
banker,bankers
popularity,popularities
continuity,continuities
bunch,bunches
hook,hooks
wicket,wickets
ballet,ballets
heir,heirs
dancer,dancers
trail,trails
caution,cautions
donation,donations
tyre,tyres
sufferer,sufferers
restraint,restraints
gardener,gardeners
dilemma,dilemmas
configuration,configurations
misery,miseries
appreciation,appreciations
radical,radicals
lounge,lounges
dwelling,dwellings
outsider,outsiders
manuscript,manuscripts
telecommunication,telecommunications
calendar,calendars
basin,basins
pulse,pulses
predator,predators
width,widths
spine,spines
stall,stalls
lifestyle,lifestyles
headline,headlines
statue,statues
exploitation,exploitations
utterance,utterances
revision,revisions
distress,distresses
steward,stewards
knight,knights
learner,learners
dignity,dignities
senate,senates
fitting,fittings
commentator,commentators
handicap,handicaps
towel,towels
stay,stays
pin,pins
frontier,frontiers
enforcement,enforcements
lordship,lordships
boyfriend,boyfriends
activist,activists
viewer,viewers
textile,textiles
mist,mists
harmony,harmonies
deed,deeds
invention,inventions
commissioner,commissioners
caravan,caravans
bolt,bolts
ending,endings
publishing,publishings
gut,guts
rug,rugs
slip,slips
praise,praises
fine,fines
monument,monuments
garment,garments
realm,realms
reproduction,reproductions
reactor,reactors
pump,pumps
probe,probes
feedback,feedbacks
aspiration,aspirations
suspect,suspects
fare,fares
membrane,membranes
dependence,dependences
bacteria,bacterias
trading,tradings
ambassador,ambassadors
conjunction,conjunctions
cabin,cabins
shaft,shafts
treasure,treasures
attribute,attributes
embassy,embassies
exemption,exemptions
array,arrays
tablet,tablets
erosion,erosions
bull,bulls
warehouse,warehouses
promoter,promoters
vitamin,vitamins
sail,sails
lemon,lemons
foreigner,foreigners
powder,powders
bat,bats
ancestor,ancestors
compliance,compliances
arch,arches
woodland,woodlands
doing,doings
peer,peers
ozone,ozones
brigade,brigades
temptation,temptations
glove,gloves
aggression,aggressions
emergence,emergences
coffin,coffins
wit,wits
trainee,trainees
scrutiny,scrutinies
follower,followers
tariff,tariffs
bee,bees
relaxation,relaxations
negligence,negligences
sunlight,sunlights
knot,knots
temper,tempers
skull,skulls
throne,thrones
sickness,sicknesses
intake,intakes
beast,beasts
rear,rears
morality,moralities
sink,sinks
reminder,reminders
bargain,bargains
bile,biles
bullet,bullets
confrontation,confrontations
illusion,illusions
congregation,congregations
wake,wakes
jewellery,jewelleries
guerrilla,guerrillas
cooperation,cooperations
thread,threads
calcium,calciums
marker,markers
chemist,chemists
mammal,mammals
legacy,legacies
debtor,debtors
testament,testaments
grin,grins
spectacle,spectacles
inheritance,inheritances
sovereignty,sovereignties
enzyme,enzymes
corn,corns
layout,layouts
inclusion,inclusions
booklet,booklets
laser,lasers
fame,fames
bronze,bronzes
metaphor,metaphors
complication,complications
diameter,diameters
shed,sheds
fusion,fusions
printing,printings
onion,onions
sunshine,sunshines
sponsorship,sponsorships
rage,rages
loop,loops
halt,halts
orientation,orientations
likelihood,likelihoods
apology,apologies
exile,exiles
brow,brows
outbreak,outbreaks
timing,timings
headmaster,headmasters
sigh,sighs
joint,joints
gravity,gravities
cylinder,cylinders
curiosity,curiosities
narrative,narratives
accountability,accountabilities
hydrogen,hydrogens
gravel,gravels
willingness,willingnesses
like,likes
usage,usages
planner,planners
jail,jails
fertility,fertilities
documentation,documentations
patent,patents
exit,exits
corps,corps
brochure,brochures
locomotive,locomotives
syndrome,syndromes
confirmation,confirmations
nursing,nursings
mosaic,mosaics
manor,manors
valve,valves
sofa,sofas
jazz,jazzes
patron,patrons
provider,providers
intent,intents
pie,pies
fury,furies
abolition,abolitions
soccer,soccers
corpse,corpses
accusation,accusations
contempt,contempts
murderer,murderers
liberal,liberals
gathering,gatherings
disagreement,disagreements
cleaner,cleaners
scent,scents
civilian,civilians
monk,monks
keyboard,keyboards
hammer,hammers
despair,despairs
controller,controllers
reconstruction,reconstructions
patience,patiences
habitat,habitats
queue,queues
spectator,spectators
outlook,outlooks
pepper,peppers
dot,dots
conspiracy,conspiracies
butterfly,butterflies
sponsor,sponsors
rating,ratings
recorder,recorders
maid,maids
bicycle,bicycles
sick,sicks
sack,sacks
renaissance,renaissances
luxury,luxuries
wardrobe,wardrobes
native,natives
fringe,fringes
adaptation,adaptations
quotation,quotations
hunger,hungers
choir,choirs
glimpse,glimpses
locality,localities
ferry,ferries
balcony,balconies
sailor,sailors
precision,precisions
dancing,dancings
archive,archives
jump,jumps
philosopher,philosophers
revival,revivals
node,nodes
herb,herbs
assertion,assertions
fair,fairs
polymer,polymers
sweat,sweats
survivor,survivors
subscription,subscriptions
repayment,repayments
punch,punches
landowner,landowners
ignorance,ignorances
bride,brides
abbey,abbeys
quarry,quarries
archbishop,archbishops
descent,descents
mistress,mistresses
prosperity,prosperities
formulation,formulations
threshold,thresholds
lobby,lobbies
salvation,salvations
pudding,puddings
propaganda,propagandas
cage,cages
broker,brokers
theology,theologies
analogy,analogies
performer,performers
squadron,squadrons
sentiment,sentiments
making,makings
dominance,dominances
placement,placements
mercy,mercies
mainstream,mainstreams
appraisal,appraisals
torch,torches
preservation,preservations
disclosure,disclosures
lace,laces
inability,inabilities
listener,listeners
hunt,hunts
substitute,substitutes
highway,highways
dragon,dragons
sediment,sediments
parcel,parcels
calorie,calories
flash,flashes
scholarship,scholarships
monitor,monitors
hatred,hatreds
pill,pills
feather,feathers
staircase,staircases
viewpoint,viewpoints
projection,projections
racism,racisms
resentment,resentments
pillow,pillows
courtesy,courtesies
photography,photographies
monkey,monkeys
bankruptcy,bankruptcies
sacrifice,sacrifices
sketch,sketches
presidency,presidencies
cart,carts
catch,catches
immigration,immigrations
clarity,clarities
worm,worms
slot,slots
rifle,rifles
harvest,harvests
academic,academics
impulse,impulses
guardian,guardians
ambiguity,ambiguities
triangle,triangles
pony,ponies
deficiency,deficiencies
decree,decrees
yarn,yarns
renewal,renewals
rebellion,rebellions
flour,flours
ballot,ballots
appetite,appetites
notebook,notebooks
census,censuses
greenhouse,greenhouses
burial,burials
ash,ashes
actress,actresses
cassette,cassettes
privacy,privacies
fridge,fridges
feed,feeds
associate,associates
ruin,ruins
default,defaults
costume,costumes
variant,variants
methodology,methodologies
investigator,investigators
bin,bins
enjoyment,enjoyments
contemporary,contemporaries
texture,textures
donor,donors
bacon,bacons
stool,stools
commentary,commentaries
bass,basses
repetition,repetitions
suburb,suburbs
newcomer,newcomers
romance,romances
daylight,daylights
warrant,warrants
fur,furs
parking,parkings
nuisance,nuisances
bulb,bulbs
balloon,balloons
surveyor,surveyors
biology,biologies
injunction,injunctions
amusement,amusements
vegetation,vegetations
thinking,thinkings
mainframe,mainframes
flock,flocks
academy,academies
shilling,shillings
reluctance,reluctances
velocity,velocities
wartime,wartimes
rib,ribs
gall,galls
prescription,prescriptions
fever,fevers
reservoir,reservoirs
magnitude,magnitudes
cutting,cuttings
bracket,brackets
agony,agonies
recipient,recipients
moor,moors
dairy,dairies
chord,chords
poison,poisons
pillar,pillars
washing,washings
warrior,warriors
supervisor,supervisors
outfit,outfits
dressing,dressings
jungle,jungles
brewery,breweries
adjective,adjectives
monarchy,monarchies
trunk,trunks
herd,herds
deadline,deadlines
tiger,tigers
ego,egos
bitch,bitches
wheat,wheats
snake,snakes
ribbon,ribbons
mainland,mainlands
fisherman,fishermen
nationalism,nationalisms
knitting,knittings
irony,ironies
bomber,bombers
voltage,voltages
toast,toasts
feel,feels
suffering,sufferings
waiter,waiters
ant,ants
bowler,bowlers
drain,drains
wrong,wrongs
galaxy,galaxies
aluminium,aluminiums
receptor,receptors
parade,parades
opposite,opposites
critique,critiques
query,queries
outset,outsets
testing,testings
patrol,patrols
pad,pads
sausage,sausages
criminal,criminals
highlight,highlights
doll,dolls
biography,biographies
vocabulary,vocabularies
accumulation,accumulations
linen,linens
fairy,fairies
ray,rays
pottery,potteries
retreat,retreats
holly,hollies
solidarity,solidarities
theorist,theorists
drill,drills
credibility,credibilities
copyright,copyrights
beard,beards
bang,bangs
prevalence,prevalences
boost,boosts
scrap,scraps
fog,fogs
batch,batches
blast,blasts
brake,brakes
nun,nuns
heap,heaps
rhetoric,rhetorics
liaison,liaisons
jockey,jockeys
concrete,concretes
compact,compacts
nationality,nationalities
cast,casts
altar,altars
refuge,refuges
retailer,retailers
admiration,admirations
coincidence,coincidences
passport,passports
depot,depots
secretion,secretions
dirt,dirts
mug,mugs
convenience,conveniences
calm,calms
consistency,consistencies
umbrella,umbrellas
hemisphere,hemispheres
extreme,extremes
brandy,brandies
belly,bellies
attachment,attachments
wash,washes
treat,treats
pine,pines
communism,communisms
frog,frogs
innocence,innocences
housewife,housewives
counsel,counsels
cord,cords
reasoning,reasonings
litre,litres
courtyard,courtyards
arena,arenas
simplicity,simplicities
inhibition,inhibitions
immigrant,immigrants
bet,bets
revenge,revenges
helmet,helmets
disruption,disruptions
attainment,attainments
lunchtime,lunchtimes
cult,cults
chat,chats
accord,accords
offering,offerings
broadcast,broadcasts
manipulation,manipulations
inquest,inquests
decrease,decreases
cellar,cellars
counsellor,counsellors
avenue,avenues
labourer,labourers
lab,labs
socket,sockets
thrust,thrusts
scenario,scenarios
recreation,recreations
spy,spies
clearance,clearances
blessing,blessings
embryo,embryos
mutation,mutations
burst,bursts
elder,elders
rehearsal,rehearsals
hurry,hurries
absorption,absorptions
ion,ions
heroin,heroins
vector,vectors
robbery,robberies
chalk,chalks
villager,villagers
morale,morales
climb,climbs
jam,jams
literacy,literacies
freight,freights
clearing,clearings
aviation,aviations
legislature,legislatures
banana,bananas
monastery,monasteries
kettle,kettles
distortion,distortions
monarch,monarchs
acquaintance,acquaintances
deprivation,deprivations
attacker,attackers
screening,screenings
hostage,hostages
gown,gowns
chimney,chimneys
plasma,plasmas
spray,sprays
referral,referrals
fluctuation,fluctuations
unrest,unrests
plaster,plasters
grouping,groupings
gospel,gospels
distributor,distributors
differentiation,differentiations
witch,witches
jar,jars
advocate,advocates
footstep,footsteps
drift,drifts
spider,spiders
hectare,hectares
colonel,colonels
swimming,swimmings
realism,realisms
insider,insiders
hobby,hobbies
computing,computings
infrastructure,infrastructures
burn,burns
cereal,cereals
fold,folds
boxing,boxings
hire,hires
amateur,amateurs
electorate,electorates
manufacturing,manufacturings
split,splits
domination,dominations
precedent,precedents
trench,trenches
therapist,therapists
warranty,warranties
spoon,spoons
precaution,precautions
kite,kites
instant,instants
gig,gigs
fountain,fountains
gloom,glooms
bite,bites
noun,nouns
nomination,nominations
armchair,armchairs
violation,violations
rocket,rockets
climber,climbers
sodium,sodiums
gossip,gossips
bundle,bundles
bend,bends
recruit,recruits
hen,hens
dependency,dependencies
overview,overviews
trolley,trolleys
rotation,rotations
denial,denials
boiler,boilers
amp,amps
shout,shouts
make,makes
hunter,hunters
guess,guesses
syllable,syllables
mould,moulds
limestone,limestones
beneficiary,beneficiaries
veteran,veterans
manifestation,manifestations
vicar,vicars
textbook,textbooks
novelist,novelists
guild,guilds
ulcer,ulcers
slab,slabs
detector,detectors
detection,detections
spelling,spellings
lender,lenders
glow,glows
voucher,vouchers
honey,honeys
scream,screams
postcard,postcards
reverse,reverses
odour,odours
residue,residues
procession,processions
pioneer,pioneers
intercourse,intercourses
nitrogen,nitrogens
citizenship,citizenships
pedestrian,pedestrians
detention,detentions
wagon,wagons
microphone,microphones
fixture,fixtures
weed,weeds
programming,programmings
carrot,carrots
bulletin,bulletins
wording,wordings
urgency,urgencies
skeleton,skeletons
motorist,motorists
whip,whips
shrub,shrubs
porter,porters
banner,banners
velvet,velvets
omission,omissions
gallon,gallons
superintendent,superintendents
continuation,continuations
reliance,reliances
orbit,orbits
compartment,compartments
privatization,privatizations
blame,blames
basement,basements
mushroom,mushrooms
instructor,instructors
fork,forks
want,wants
disposition,dispositions
cemetery,cemeteries
nephew,nephews
ivory,ivories
hospitality,hospitalities
tract,tracts
proprietor,proprietors
affinity,affinities
talking,talkings
royalty,royalties
neglect,neglects
regret,regrets
franchise,franchises
dentist,dentists
contrary,contraries
profitability,profitabilities
enthusiast,enthusiasts
pier,piers
dome,domes
bubble,bubbles
treasurer,treasurers
stocking,stockings
sanctuary,sanctuaries
arc,arcs
quest,quests
mole,moles
marathon,marathons
feast,feasts
hardship,hardships
entitlement,entitlements
circular,circulars
strap,straps
majesty,majesties
pigeon,pigeons
goalkeeper,goalkeepers
walker,walkers
virgin,virgins
prestige,prestiges
preoccupation,preoccupations
craftsman,craftsmen
anticipation,anticipations
knock,knocks
confession,confessions
turkey,turkeys
toll,tolls
transcription,transcriptions
sulphur,sulphurs
particular,particulars
conductor,conductors
trait,traits
meadow,meadows
creed,creeds
optimism,optimisms
twist,twists
sweet,sweets
excavation,excavations
destiny,destinies
pasture,pastures
voyage,voyages
siege,sieges
jewel,jewels
hay,hays
demonstrator,demonstrators
correction,corrections
civilization,civilizations
retention,retentions
rehabilitation,rehabilitations
diplomat,diplomats
deviation,deviations
workplace,workplaces
kidney,kidneys
insistence,insistences
whisper,whispers
multimedia,multimedias
forestry,forestries
decay,decays
screw,screws
pest,pests
homework,homeworks
grasp,grasps
facade,facades
cushion,cushions
urge,urges
solvent,solvents
slogan,slogans
fuss,fusses
rack,racks
short,shorts
ram,rams
contraction,contractions
ham,hams
athlete,athletes
physician,physicians
crossing,crossings
bail,bails
midfield,midfields
drainage,drainages
cruelty,cruelties
symmetry,symmetries
marsh,marshes
litigation,litigations
curl,curls
urine,urines
greeting,greetings
chase,chases
spouse,spouses
produce,produces
salon,salons
stimulation,stimulations
original,originals
garlic,garlics
suitcase,suitcases
skipper,skippers
manpower,manpowers
reformer,reformers
quantum,quanta
